source,region_id,offset,cutoff_year,max_publication_year,possibility_pressure,question_pressure,anomaly_pressure,doubt_tension,pattern_formation,cross_domain_similarity,analogical_transfer,bridge_formation,collision_index,surprise_geometry,insight_coherence,leap_nonlinearity,originality_risk,density_gap,boundary_activity,complementarity,momentum,recombination,convergence,sequence_order_score,stage_possibility,stage_question,stage_pattern,stage_imagination,stage_insight,stage_discovery_readiness,core_geometry_score,n_docs,mean_citations,topic_entropy,activity_recent,activity_prior,question_rate,years_covered,quality_eligible,skg,pbs,bookwide_pbsk,match_case_id,label,target,domain,book_realm,landmark_year,cohort
PubMed,singlecell,3,2006,2006.0,0.4475421467701187,0.9860618045444106,0.20085170985283204,0.5286252256434942,0.589525881936015,0.8330382996433028,0.04165191498216514,1.0,0.5004980126602876,0.31871053938284893,0.4977623032548789,0.7489626556016596,0.31871053938284893,0.16696170035669722,0.4117647058823529,0.8577796726444472,0.5786802030456852,0.0,0.6599672465957478,0.43333333333333335,0.31335260258192676,0.4713127456070291,0.40233071729194547,0.43902165222413764,0.006899984714229807,0.5726733354195772,0.438678269316664,221,0.0,0.8577796726444472,113,82,0.6199095022624435,8,1,0.38923681418413103,0.47309833322291445,0.2165348410335185,singlecell,Single-cell RNA sequencing,1,Life Sciences,Life,2009,landmark
PubMed,singlecell,1,2008,2008.0,0.44320920487834387,0.9864309233002625,0.20263556752480777,0.4989786014591636,0.5995710209607648,0.8422580065109038,0.04211290032554519,1.0,0.49081802615222164,0.30372767483948065,0.5028697167610101,0.8065166274773261,0.30372767483948065,0.15774199348909623,0.4143835616438356,0.8478884395875448,0.48878923766816135,0.0,0.2828870316720944,0.43333333333333335,0.30712808967663985,0.463754452491983,0.4020712323024093,0.4267150492238115,0.005220228425341032,0.5548628981709272,0.43283666333918164,292,0.0,0.8478884395875448,108,113,0.6232876712328768,10,1,0.38126726520809645,0.3997542393451337,0.20338580126582886,singlecell,Single-cell RNA sequencing,1,Life Sciences,Life,2009,landmark
PubMed,crispr_c1,5,2007,2007.0,0.331731334206548,0.9051482536448665,0.0,0.5545997223493823,0.0,0.0,0.0,1.0,0.46346266841309597,0.0,0.0,0.7538461538461538,0.0,0.0,0.0,0.9269253368261919,0.9444444444444444,0.0,0.0,0.5,6.922487259849841e-05,0.007947547310613418,0.0033621098750308788,1.0000000000000004e-06,1.0000000000000004e-06,0.7087227622298125,0.06142260820138713,16,0.0,0.9269253368261919,16,0,0.375,3,0,9.75023128735126e-07,0.3270517340319051,0.00033082419299837755,crispr,Zinc-finger nuclease engineering,0,Life Sciences,Life,2012,landmark
PubMed,crispr_c1,3,2009,2009.0,0.4220802619395454,0.9527218027997246,0.0,0.3353439186305463,0.54736843424621,0.7676975510567132,0.037492205981839485,0.9767441860465116,0.5292283487324438,0.36735251025703264,0.4620893787494525,0.7538461538461538,0.36735251025703264,0.23230244894328678,0.13953488372093023,0.8793766890050221,0.7555555555555555,0.0,0.5523813409148227,0.26666666666666666,0.23917211395834853,0.00683626432353425,0.3926123216861218,0.4696619673761043,0.006343393634861422,0.5335469229970689,0.35063945356588455,43,0.0,0.8793766890050221,33,10,0.46511627906976744,5,0,0.3054713685696518,0.44643333880440456,0.10033724326454918,crispr,Zinc-finger nuclease engineering,0,Life Sciences,Life,2012,landmark
PubMed,crispr_c1,1,2011,2011.0,0.42961595876574665,0.9573402914958706,0.08673801054129796,0.29528641064799144,0.5652826726303173,0.7391577780329414,0.03599377006073454,0.9739130434782609,0.5148196239317574,0.3415171879625039,0.47208253322313853,0.7538461538461538,0.3415171879625039,0.26084222196705864,0.11304347826086956,0.8385021156134521,0.8090909090909091,0.0,0.5481903528307193,0.5,0.23311377439625705,0.29051802628004486,0.38586420243199315,0.44176105621171363,0.00637259678594546,0.6731058262646525,0.42169681174849755,115,0.0,0.8385021156134521,88,20,0.4782608695652174,7,1,0.2913237255578794,0.4460697524565203,0.19162865649173177,crispr,Zinc-finger nuclease engineering,0,Life Sciences,Life,2012,landmark
PubMed,crispr_c2,5,2007,2007.0,0.4375399442340062,0.9960382043284042,0.0,0.0,0.0,0.0,0.0,1.0,0.47507988846801236,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.9501597769360247,0.7272727272727273,0.0,0.0,0.3333333333333333,7.591703459268647e-05,9.986776536135879e-05,0.0033955697619445905,1.0000000000000004e-06,1.0000000000000004e-06,0.6020134379087914,0.054102225519570016,9,0.0,0.9501597769360247,7,2,0.7777777777777778,5,0,9.831026810965923e-07,0.29912286447811404,0.00015789943226552928,crispr,Meganuclease genome engineering,0,Life Sciences,Life,2012,landmark
PubMed,crispr_c2,3,2009,2009.0,0.38319861176365144,0.9929690490514801,0.0,0.0,0.0,0.0,0.0,1.0,0.46051487058612633,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.9210297411722527,0.7058823529411765,0.0,0.0,0.5333333333333333,7.263422533615537e-05,9.97650835431001e-05,0.003353539781907193,1.0000000000000004e-06,1.0000000000000004e-06,0.6971472533912472,0.06262496010328508,17,0.0,0.9210297411722527,11,4,0.7058823529411765,7,0,9.729515585849553e-07,0.290088301175627,0.00016025981748885593,crispr,Meganuclease genome engineering,0,Life Sciences,Life,2012,landmark
PubMed,crispr_c2,1,2011,2011.0,0.4706303736981789,0.9893581102391256,0.0,0.18997158704554315,0.5469191564113849,0.766333250213372,0.03684294472179673,0.9615384615384616,0.5392749995183581,0.38414403717613627,0.4779823499989059,0.8999999999999999,0.38414403717613627,0.23366674978662805,0.07692307692307693,0.9092341989375899,0.5833333333333334,0.0,0.4951330593079812,0.5333333333333333,0.203756359540843,0.005728145704040299,0.3940451949311646,0.48358032264337636,0.006185544394124339,0.6542132620377179,0.41791122990179447,26,0.0,0.9092341989375899,13,9,0.6538461538461539,9,0,0.25377165342214697,0.40573476402565617,0.09825911757802898,crispr,Meganuclease genome engineering,0,Life Sciences,Life,2012,landmark
PubMed,ips_c1,5,2001,2001.0,0.5042988484674019,0.9877703932665306,0.5927001329955613,0.5927001329955613,0.0,0.612186530061751,0.030609326503087553,1.0,0.6445019566617292,0.0,0.0,0.8620689655172413,0.0,0.38781346993824894,0.0,0.9288019905015137,0.75,0.0,0.0,0.4666666666666667,0.00580457315017777,0.7027087339201639,0.028353079153636954,8.491047229068501e-05,1.0000000000000004e-06,0.6707129397191228,0.0670003400721934,22,0.0,0.9288019905015137,17,5,0.6363636363636364,5,0,0.000711511639359716,0.37582309208795256,0.004329528823936095,ips,Adult stem-cell transdifferentiation,0,Life Sciences,Life,2006,landmark
PubMed,ips_c1,3,2003,2003.0,0.5087108387601975,0.987867152289925,0.5001082960173687,0.7569402916648208,0.5431471692831826,0.8326571681961787,0.041175354471239614,0.989010989010989,0.49131122344283357,0.40137457128866705,0.48766890985503236,0.8620689655172413,0.40137457128866705,0.16734283180382126,0.3626373626373626,0.8511128410648912,0.8804347826086957,0.0,0.7968361572682406,0.3333333333333333,0.3137017086142051,0.720457017099216,0.39194033769034997,0.5119041434848617,0.007297341999399968,0.6324691050225159,0.3936279238187527,91,0.0,0.8511128410648912,80,10,0.6373626373626373,7,1,0.3724108008592579,0.5278092480827554,0.24366300576185304,ips,Adult stem-cell transdifferentiation,0,Life Sciences,Life,2006,landmark
